,Zip Code,Total Population,Population Density (per sq. mile),Male,Female,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More races,Average Household Size,High school or more,Bachelor's degree or more,Master's degree or more,Civilian Population In Labor Force 16 Years And Over,Employed,Unemployed,Total Employed Civilian Population 16 Years And Over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,Median household income,Average Household Income,Per Capita Income,Gini Index Of Income Inequality,Occupied Housing Units,Owner Occupied,Renter Occupied,Median House Value For All Owner-Occupied Housing Units,Median Gross Rent,Average Gross Rent,Workers 16 Years and over,"Car, truck, or van",Drove Alone,Carpooled,Public transportation (Includes Taxicab),Motorcycle,Bicycle,Walked,Other means,Worked at home,Less than 10 minutes,10 to 19 minutes,20 to 29 minutes,30 to 39 minutes,40 to 59 minutes,60 to 89 minutes,90 or More minutes,Worked at home,Average Commute to Work (in min),Total Population,Native Born,Foreign Born,Naturalized Citizen,Not a Citizen
2570,10014,30597,53727.76,15172,15425,26891,637,102,1894,0,349,724,1.63,25700,21407,9046,22504,20912,1592,20912,54,150,528,494,1549,128,2300,4648,5767,2501,1882,628,283,108483.0,170749.0,106068.0,0.5213,18383,5104,13279,947300.0,2001.0,2144.00933805256,20577,1041,739,302,12144,49,419,4947,65,1912,1258,5242,6271,3910,1326,357,301,1912,24.0,30597,25285,5312,2277,3035
2571,10016,51196,96201.5,23097,28099,38341,1685,123,7960,0,1890,1197,1.78,38558,31675,14180,35988,34036,1952,34036,0,261,1397,1063,2148,351,2770,7861,8092,5171,2806,1101,1015,105324.0,155106.0,87986.0,0.5124,27892,8111,19781,759600.0,2001.0,2207.7397502654103,33579,1653,1351,302,15681,52,265,13728,247,1953,2736,7689,9783,6194,3027,1652,545,1953,26.0,51196,39431,11765,5301,6464
2572,10017,16129,50381.49,7469,8660,12359,385,0,2961,7,111,306,1.61,13056,10791,4990,12258,11742,516,11742,0,93,350,352,995,80,921,3008,2930,1123,858,358,674,100652.0,157022.0,101239.0,0.5157,9908,3326,6582,637100.0,2001.0,2165.67912488605,11633,483,326,157,4613,17,97,5741,63,619,1093,3525,2743,2108,821,497,227,619,24.0,16129,11498,4631,1920,2711
2573,10018,7021,21819.63,3650,3371,4125,465,62,1792,0,397,180,1.9,5034,3776,1649,5309,5029,280,5029,0,68,259,204,504,83,277,1247,1183,608,377,125,94,104635.0,139890.0,75598.0,0.4921,3537,373,3164,1000001.0,2001.0,2234.73451327434,4990,231,176,55,2624,0,38,1829,29,239,395,1066,1103,1179,448,397,163,239,29.0,7021,4331,2690,768,1922
2574,10019,38394,56459.61,18818,19576,27881,2525,172,5145,13,1647,1011,1.62,30375,23104,10976,26383,24599,1784,24599,34,200,1335,420,1441,545,1947,4803,5434,4415,2782,733,510,84424.0,135287.0,84966.0,0.5531,23420,4547,18873,808600.0,1984.0,1970.7147777247897,24358,1546,1358,188,11572,8,240,9197,408,1387,2422,6354,5832,4642,2523,711,487,1387,25.0,38394,26597,11797,5873,5924
2575,10020,0,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2576,10021,40862,105558.0,17521,23341,36163,786,17,3046,64,225,561,1.74,33026,27156,14235,24744,23606,1138,23606,13,105,576,436,1815,215,1467,5745,5400,5000,1987,453,394,107907.0,208018.0,120077.0,0.589,23175,9141,14034,1000001.0,1859.0,1892.75331338179,23252,2453,1973,480,12995,37,74,5454,133,2106,1996,4191,4326,5798,3614,881,340,2106,28.0,40862,32798,8064,4373,3691
2577,10022,29618,67873.23,13007,16611,25263,614,6,2902,0,420,413,1.65,24603,20191,9356,19576,18300,1276,18300,0,180,498,454,1150,271,1231,4770,4886,2718,958,716,468,109019.0,214340.0,129778.0,0.5847,17647,8120,9527,866100.0,2001.0,2146.17403169938,18070,2251,1928,323,7966,0,14,6341,87,1411,1164,5082,3852,3781,1725,706,349,1411,26.0,29618,23344,6274,3126,3148
2578,10023,61315,125003.2,28947,32368,50678,2094,87,6303,24,624,1505,1.82,47520,39044,22570,37175,34923,2252,34923,64,211,985,797,1804,401,3337,7816,7304,6898,3505,1186,615,103534.0,183328.0,99496.0,0.5743,32793,12356,20437,872500.0,1951.0,1962.35259578216,33926,2392,1835,557,22007,41,356,5651,329,3150,1114,5379,9383,9642,3233,1471,554,3150,28.0,61315,48380,12935,6342,6593
2579,10024,59164,68967.46,27166,31998,47916,4019,246,3561,0,817,2605,2.0,44589,36382,20398,35662,33683,1979,33683,62,452,863,713,1246,496,2660,6732,7952,7518,2420,1399,1170,109956.0,194423.0,97633.0,0.5711,29083,10456,18627,1000001.0,1905.0,1887.2335856552302,32942,2523,1993,530,23883,0,536,3157,326,2517,1183,4029,8411,10271,4392,1679,460,2517,30.0,59164,48282,10882,5452,5430
